,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
46,L,298.3,308.0,1451,47.1,196
47,M,302.2,311.7,1576,34.0,28
48,L,296.2,307.2,1356,43.6,22
49,L,300.5,311.4,1442,47.0,53
50,L,301.5,310.9,1891,23.2,122
51,L,298.1,309.3,1443,45.3,70
52,M,300.7,309.6,1421,49.8,165
53,M,301.7,310.6,1505,44.5,146
54,L,298.1,309.9,1629,32.5,45
55,L,298.0,307.7,1606,30.8,17
56,M,298.3,309.0,1505,41.3,93
57,M,300.5,309.7,1685,29.4,140
58,M,302.5,311.5,1481,41.1,215
59,M,298.9,310.5,1525,38.5,27
60,L,297.4,308.3,1412,42.0,111
61,M,297.8,307.8,1543,43.7,8
62,H,300.7,310.2,1479,52.3,9
63,M,298.3,309.5,1560,36.9,131
64,L,301.5,310.7,1568,33.1,38
65,H,299.3,308.6,1520,41.4,67
66,L,299.7,309.6,1720,27.1,146
67,H,301.2,310.9,1598,35.9,71
68,L,298.1,310.0,1534,33.7,47
69,M,302.5,310.5,1527,38.8,136
70,H,300.7,310.8,1346,52.0,193
71,M,302.2,310.8,1356,48.3,36
72,L,298.5,309.6,1585,32.2,89
73,L,297.6,309.0,1491,43.2,7
74,L,300.4,311.1,1589,35.5,191
75,L,300.2,311.5,1500,40.8,17
76,M,302.2,310.4,1456,47.5,167
77,M,298.8,309.9,1415,53.2,194
78,L,300.4,309.4,1412,51.6,153
79,L,297.8,307.5,1581,33.1,116
80,M,296.1,307.1,1350,53.3,22
81,L,297.7,309.4,1392,44.1,140
82,L,299.3,309.1,1493,38.0,151
83,L,297.8,307.7,1393,38.0,29
84,M,297.5,309.4,1482,39.3,112
85,M,298.1,309.1,1572,37.5,126
86,L,298.2,307.8,1515,46.7,74
87,L,299.8,310.2,1654,32.7,159
88,H,303.5,311.7,1584,32.7,143
89,M,298.0,308.7,1436,48.2,201
90,L,300.5,309.5,1542,38.5,108
91,L,302.4,311.8,1476,46.6,110
92,H,298.7,310.1,1435,45.6,37
93,H,301.9,309.8,1724,27.5,126
94,L,298.2,308.3,1568,36.0,92
95,M,302.8,312.2,1615,32.9,159
96,M,298.0,309.9,1445,45.2,55
97,M,297.4,308.2,1536,34.6,4
98,M,303.7,312.8,1634,33.8,63
99,M,302.6,310.4,1532,36.1,77
100,L,298.9,309.7,1449,48.8,147
101,H,295.6,306.0,1396,52.4,0
102,M,300.1,309.3,1469,43.9,20
103,L,301.0,311.3,1472,35.3,73
104,M,300.9,310.8,1695,30.2,188
105,L,301.5,310.5,1466,48.1,189
106,M,300.4,309.6,1521,35.0,119
107,L,300.1,311.3,1676,30.3,151
108,L,297.9,309.1,1504,43.0,4
109,M,302.7,312.1,1564,32.1,188
110,L,302.6,312.0,1447,45.5,173
111,M,303.5,312.7,2116,16.7,45
112,M,302.5,311.4,1636,35.0,157
113,L,301.2,311.0,1670,33.0,200
114,M,297.4,308.0,1601,34.6,181
115,L,303.8,313.0,1427,43.0,0
116,M,299.0,310.3,1447,39.9,78
117,M,301.7,309.9,1457,39.2,192
118,M,299.4,310.0,1512,43.2,47
119,L,298.8,308.6,1872,22.5,82
120,L,299.0,310.3,1552,39.9,114
121,L,302.1,311.5,1477,45.4,111
122,M,300.9,310.5,1702,29.3,32
123,L,299.2,310.7,1477,44.0,19
124,L,298.4,310.1,1455,42.2,94
125,M,300.9,312.1,1617,31.0,148
126,M,301.1,311.2,1407,53.0,165
127,L,303.1,311.3,1657,31.8,217
128,M,301.7,310.5,1724,33.0,171
129,L,295.6,306.2,1426,48.6,124
130,M,300.3,311.4,1371,50.2,109
131,L,301.9,310.8,1906,21.7,62
132,H,298.9,308.4,1449,42.4,149
133,M,299.7,309.0,1645,31.9,155
134,L,299.6,310.2,1588,34.1,38
135,L,302.4,310.9,1349,46.1,148
136,L,304.1,313.4,1399,43.7,111
137,M,298.2,308.4,1510,39.9,134
138,M,300.7,311.0,1334,53.9,150
139,H,300.8,310.8,1618,32.8,40
140,L,300.3,311.1,1606,30.9,156
141,H,301.6,310.7,1414,51.7,197
142,L,297.3,308.7,1467,36.8,216
143,L,302.7,312.0,1828,24.0,63
144,M,301.4,310.3,1610,29.1,166
145,L,297.4,308.2,1297,52.1,211
146,M,302.2,311.2,1663,29.6,115
147,L,299.0,309.5,1861,23.3,73
148,L,298.0,308.6,1532,42.6,54
149,M,303.0,311.2,1614,35.7,207
150,L,303.7,312.0,1892,22.5,79
151,H,300.1,309.4,1329,55.2,143
152,M,298.1,308.7,1362,49.6,158
153,M,302.4,310.9,1469,41.6,124
154,L,302.6,311.0,1520,42.8,148
155,L,298.1,308.0,1426,46.0,61
156,L,303.4,311.7,1295,51.3,51
157,M,298.2,308.7,1361,44.2,0
158,L,302.7,310.6,1501,48.7,4
159,L,303.3,311.5,1412,55.6,67
160,L,302.8,312.3,1473,42.6,232
161,L,302.4,310.8,1686,28.8,150
162,L,301.4,310.3,2203,16.6,169
163,L,301.0,311.6,1461,40.6,154
164,M,300.5,309.4,1655,32.1,37
165,M,298.7,308.4,1430,49.6,135
166,L,296.9,308.1,1422,48.7,215
167,H,302.2,311.2,1692,28.2,122
168,L,298.9,310.2,1654,31.1,158
169,M,302.3,311.3,1625,33.1,137
170,L,297.3,308.5,1398,60.4,12
171,L,301.8,310.7,1551,37.7,64
172,H,302.0,310.6,1438,43.2,12
173,L,299.5,308.6,1672,30.5,177
174,L,302.7,312.2,1447,47.5,166
175,L,303.6,312.5,1710,31.4,180
176,L,297.4,308.9,1708,28.8,174
177,M,301.0,310.4,1793,25.0,142
178,L,300.0,311.5,1749,28.3,83
179,L,298.0,308.8,1489,36.5,109
180,L,301.7,310.7,1605,33.3,220
181,M,297.7,309.2,1732,28.8,152
182,L,302.4,311.1,1520,42.2,143
183,M,299.7,311.1,1618,30.3,125
184,L,300.3,311.3,1525,40.7,105
185,H,303.8,312.9,1570,35.8,147
186,M,302.3,311.0,1384,49.7,192
187,L,300.8,310.7,1461,42.8,173
188,L,298.3,307.9,1507,41.2,149
189,L,299.0,308.6,1648,30.8,98
190,M,302.5,312.0,1487,46.1,175
191,L,301.6,310.7,1429,43.6,176
192,M,300.7,310.6,1418,46.3,84
193,L,300.8,311.4,1536,40.9,22
194,M,298.5,308.1,1501,39.2,127
195,L,299.4,309.4,1701,31.2,199
196,L,299.9,309.6,1280,59.3,163
197,L,297.0,307.8,1521,40.2,190
198,L,298.1,307.6,1364,53.8,129
199,L,299.3,309.1,1388,45.5,123
200,L,299.4,310.5,1514,36.1,169
201,L,299.2,310.4,1570,37.3,37
202,H,302.4,311.9,1366,47.3,162
203,L,301.5,310.9,1600,39.0,160
204,L,301.6,310.9,1385,51.2,132
205,H,301.5,310.7,1599,40.4,72
206,M,301.6,310.4,1455,39.0,118
207,L,298.2,307.8,2029,19.9,96
208,L,299.0,308.6,1329,60.5,120
209,L,302.1,311.2,1447,50.3,11
210,L,300.8,311.2,1430,54.4,85
211,L,300.2,310.3,1331,52.1,30
212,M,303.4,311.6,1446,50.0,163
213,L,298.8,309.7,1505,39.0,131
214,L,298.8,309.8,1437,42.8,23
215,L,302.8,312.4,1529,36.8,237
216,L,302.0,310.8,1454,36.6,0
217,H,302.2,311.3,1758,26.4,4
218,M,298.7,309.1,1423,49.5,200
219,L,300.5,311.6,1497,40.5,180
220,M,302.6,311.1,1520,43.0,88
221,L,301.9,310.7,1947,25.0,137
222,L,297.4,308.6,1494,42.6,161
223,L,301.8,310.3,1688,28.8,31
224,M,302.7,312.0,1652,31.0,81
225,M,301.6,310.9,1575,40.1,139
226,L,298.8,310.6,1803,25.4,209
227,L,303.1,311.2,1399,49.2,111
228,M,299.3,308.5,1496,39.4,80
229,M,297.2,308.3,1794,27.5,38
230,H,298.1,308.4,1515,43.8,6
231,L,302.0,310.8,2143,17.3,227
232,L,300.3,309.6,1435,45.4,181
233,L,298.8,309.4,1387,54.1,171
234,L,300.9,312.1,1359,51.7,146
235,H,300.9,310.8,1390,40.6,131
236,L,297.6,308.8,1475,43.0,119
237,L,298.2,308.8,1498,36.0,39
238,L,297.4,308.5,1496,36.4,126
239,M,300.4,310.5,1500,43.0,9
240,L,302.6,311.9,1354,48.0,67
241,L,303.0,311.2,1383,44.6,198
242,M,297.8,309.3,2243,15.7,36
243,M,302.6,311.7,1430,51.7,32
244,L,298.9,310.6,1585,38.1,7
245,M,299.1,310.0,1437,41.1,192
246,L,299.9,311.3,1802,24.4,151
247,L,299.6,310.1,1384,49.8,11
248,L,299.2,308.4,1465,35.0,201
249,M,300.1,309.0,1612,33.0,34
250,L,298.1,308.9,1313,50.6,108
251,M,297.4,308.7,1382,49.9,151
252,M,303.0,311.1,1428,39.8,181
253,L,297.4,308.8,1462,49.7,132
254,L,301.1,309.8,1493,38.9,149
255,L,300.7,310.5,1960,21.0,194
256,L,298.0,308.3,1405,56.2,218
257,M,298.8,310.1,1585,31.3,147
258,L,301.9,310.4,1884,23.4,163
259,M,297.9,308.5,1300,53.0,172
260,M,298.0,307.5,1387,45.5,166
261,M,301.5,310.4,1593,36.8,50
262,M,302.3,311.7,1640,31.5,199
263,M,297.3,308.3,1341,51.9,51
264,M,299.8,309.2,1678,29.8,202
265,L,300.2,309.5,1729,28.4,131
266,L,302.7,310.6,1690,26.7,4
267,L,298.6,309.9,1356,59.5,34
268,L,296.2,307.0,1414,48.3,162
269,M,303.8,312.7,1555,33.4,128
270,L,303.6,312.9,1480,41.4,135
271,L,297.3,308.5,1764,30.8,148
272,L,296.8,308.0,1561,38.3,9
273,L,302.6,311.5,1442,59.8,169
274,L,303.0,311.2,1601,32.9,69
275,L,301.5,310.6,1357,42.1,212
276,L,301.0,310.5,1429,39.4,98
277,L,297.4,309.4,1401,45.9,49
278,L,301.0,311.6,1440,43.3,131
279,L,302.6,312.1,1288,68.5,0
280,L,298.3,309.1,1395,49.8,133
281,L,299.5,310.7,1589,33.5,5
282,L,300.3,309.9,1621,34.1,36
283,H,304.2,313.5,1546,41.4,58
284,H,298.9,310.2,1532,37.7,166
285,L,300.4,311.4,1309,55.5,71
286,M,298.2,309.1,1457,49.0,77
287,L,299.8,311.1,1412,42.5,181
288,L,301.5,310.5,1389,54.9,187
289,L,297.7,309.6,1529,35.2,153
290,M,300.5,311.9,1511,44.5,30
291,L,300.7,310.6,1616,29.6,47
292,L,297.2,308.5,1550,41.5,125
293,H,297.7,307.4,1432,40.2,132
294,M,298.3,307.8,1330,55.4,114
295,L,300.6,310.5,1509,43.1,31
296,L,302.3,311.4,1570,37.2,15
297,L,300.3,311.3,1505,39.6,107
298,L,297.2,308.5,1513,42.9,212
299,M,303.5,312.4,1606,31.7,22
300,L,297.9,308.1,1585,33.5,212
301,L,302.7,311.1,1730,28.1,135
302,L,301.6,310.2,1384,57.1,68
303,L,299.2,310.5,1458,44.1,91
304,L,301.2,310.8,1392,52.6,23
305,M,302.9,312.4,1421,46.0,206
306,M,299.8,309.4,1751,27.0,173
307,L,298.0,309.2,1378,49.7,94
308,M,299.3,309.1,1703,31.3,120
309,M,300.7,311.0,1413,44.3,72
310,M,303.7,312.3,1756,26.4,190
311,H,304.0,313.2,1517,43.1,96
312,L,295.5,306.0,1456,39.2,167
313,L,302.0,310.4,1611,35.6,117
314,L,301.6,310.7,1679,29.5,10
315,M,302.4,311.9,1398,50.1,188
316,M,298.0,308.0,1620,29.4,75
317,L,299.8,309.6,1447,43.1,12
318,M,303.6,312.5,1607,33.7,14
319,M,298.2,309.2,1524,34.6,161
320,L,300.9,311.3,1953,19.4,107
321,L,297.6,308.5,1475,42.4,24
322,H,298.5,309.4,2011,21.0,59
323,L,299.1,310.5,1496,35.2,60
324,M,300.8,312.2,1664,25.7,150
325,L,301.2,310.6,1389,45.3,64
326,L,297.9,309.0,1583,36.7,104
327,H,301.3,311.0,1580,36.6,184
328,L,297.2,308.5,1574,35.8,95
329,L,295.7,306.1,1343,54.4,119
330,M,297.5,309.4,1678,34.4,148
331,L,302.4,311.4,1475,40.4,126
332,H,297.5,308.6,1481,38.8,14
333,L,299.3,309.0,1415,47.6,156
334,M,302.7,311.6,1501,38.8,171
335,M,298.1,308.7,1315,56.8,59
336,H,300.4,309.8,1448,39.7,107
337,M,301.0,310.9,1510,44.5,66
338,M,298.5,308.7,1367,47.3,47
339,L,298.6,309.6,1563,35.0,21
340,M,296.9,307.8,1477,37.2,160
341,L,298.5,308.2,1595,32.3,46
342,M,296.3,307.1,1534,33.8,151
343,H,298.0,308.6,1526,41.8,160
344,M,300.4,310.0,1560,42.3,186
345,L,300.6,310.0,1505,35.9,95
346,M,295.7,306.4,1387,40.1,81
347,H,302.2,311.3,1749,29.2,5
348,L,299.1,308.4,1543,37.9,130
349,L,299.2,310.6,1498,41.1,88
350,L,301.8,311.1,1495,36.9,197
351,L,297.3,307.9,1417,41.8,186
352,L,298.0,308.1,1454,37.1,35
353,H,300.7,310.7,1428,43.4,26
354,M,297.5,308.9,1280,48.5,19
355,M,297.9,309.0,1970,21.6,37
356,M,297.4,308.4,1517,41.0,18
357,M,301.1,310.9,1552,37.9,126
358,M,302.1,311.5,1635,31.6,23
359,M,302.0,310.4,1828,26.3,82
360,M,301.4,310.6,1464,37.4,74
361,L,298.2,309.1,1569,35.2,199
362,L,300.4,309.5,1447,39.3,110
363,M,302.7,312.2,1585,35.5,167
364,L,298.7,309.8,1695,29.0,145
365,M,302.7,312.1,1378,46.9,176
366,L,298.2,308.2,1446,38.2,61
367,L,300.2,309.8,1557,33.8,19
368,L,304.1,313.2,1824,25.8,186
369,L,298.1,308.1,1484,40.4,59
370,M,298.1,307.7,1424,47.7,103
371,L,300.7,309.5,1578,35.4,34
372,L,299.3,309.0,1786,23.5,100
373,L,297.5,309.0,1320,54.7,179
374,L,301.8,311.2,1840,26.6,202
375,L,300.0,309.7,1542,47.1,25
376,M,300.8,310.4,1518,36.0,59
377,L,300.1,309.1,1478,46.9,116
378,M,296.7,307.8,1258,69.0,105
379,L,298.4,308.0,1508,47.9,25
380,L,302.7,312.1,1543,37.5,33
381,L,298.4,308.3,1473,39.9,184
382,L,302.5,310.2,1477,41.6,16
383,L,301.5,310.6,1481,46.8,20
384,L,301.0,311.1,1236,64.4,177
385,L,298.4,309.5,1520,38.1,106
386,L,297.6,308.3,1816,28.8,106
387,M,298.7,309.8,1528,36.7,197
388,L,297.1,308.2,2267,15.7,181
389,M,299.3,310.7,1374,48.9,222
390,L,304.1,313.2,1434,50.1,43
391,L,298.2,308.8,1540,34.8,32
392,L,300.4,311.6,1517,39.0,45
393,H,300.0,309.5,1781,24.9,70
394,L,299.6,310.6,1642,35.1,149
395,M,300.0,309.6,1618,36.2,53
396,H,296.4,307.5,1556,38.0,62
397,L,296.2,307.1,1413,53.4,203
398,L,304.2,313.6,1469,40.0,154
399,L,301.1,311.1,1387,53.1,188
400,L,301.6,311.0,1431,42.6,158
401,M,300.4,311.2,1831,23.4,133
402,M,299.4,309.0,1939,19.8,204
403,L,300.5,312.0,1498,42.9,25
404,L,299.6,311.0,1574,35.0,133
405,L,300.5,311.6,1744,26.8,94
406,L,299.7,309.1,1713,33.5,141
407,L,301.4,310.4,1689,30.6,110
408,L,302.2,311.3,1602,32.8,120
409,M,303.8,312.9,1815,27.8,66
410,L,301.0,310.9,1570,34.0,192
411,L,303.6,311.8,1222,66.8,148
412,L,298.8,310.2,1461,46.7,105
413,H,300.0,309.7,1529,42.4,107
414,L,302.6,311.7,1254,54.1,19
415,M,300.2,311.3,1587,31.2,73
416,L,298.9,308.2,1828,23.8,26
417,M,300.1,309.3,1443,50.3,196
418,M,303.7,312.7,1532,42.7,194
419,L,302.3,311.6,1784,26.4,79
420,M,297.8,307.4,1902,24.3,129
421,M,300.7,309.5,1470,48.7,21
422,L,298.3,310.0,1460,47.6,101
423,L,300.6,311.7,1556,34.9,76
424,L,303.1,311.2,1626,32.3,21
425,L,296.2,307.3,1475,37.0,44
426,L,299.3,308.5,1589,32.7,74
427,M,300.9,310.9,1727,30.1,102
428,M,298.7,310.3,1495,38.7,88
429,L,300.2,311.6,1375,56.9,155
430,L,298.3,308.4,1528,37.3,160
431,M,300.5,311.6,1476,39.1,199
432,L,300.7,309.7,1598,33.7,149
433,L,302.9,312.2,1677,30.5,46
434,L,299.8,311.2,1664,28.3,173
435,M,298.2,308.8,1645,28.2,58
436,L,297.3,308.1,1458,45.7,202
437,H,300.5,310.9,1447,46.5,137
438,L,298.8,309.6,1523,41.9,165
439,M,298.9,310.0,1487,36.6,129
440,L,298.9,308.8,1530,38.3,23
441,L,302.0,310.9,1455,43.2,220
442,M,296.3,307.2,1286,51.1,177
443,M,300.6,309.7,1428,42.6,23
444,L,301.2,310.4,1515,38.4,51
445,L,302.6,311.9,1633,30.9,89
446,M,302.1,311.0,1574,34.1,215
447,H,297.5,308.5,1671,28.0,158
448,M,303.0,312.5,1602,33.7,135
449,H,298.8,310.1,1483,45.4,192
450,L,302.7,310.7,1977,20.0,21
451,M,300.3,309.8,1617,40.8,158
452,H,301.2,310.7,1656,26.2,64
453,L,300.7,310.7,1431,39.3,22
454,L,302.9,310.8,1610,32.2,17
455,M,299.0,310.2,1657,32.3,64
456,L,302.1,311.4,1446,39.7,95
457,L,297.6,308.1,1437,46.3,149
458,M,300.3,311.5,1445,47.3,40
459,H,302.6,310.2,1873,21.3,87
460,L,299.8,309.3,1291,56.4,188
461,L,300.6,311.9,1463,38.2,41
462,L,300.4,311.7,1444,51.2,174
463,L,301.9,311.0,1376,44.9,186
464,L,299.3,310.4,1365,53.9,171
465,M,301.2,310.0,1625,31.6,173
466,L,297.6,308.6,1326,62.4,173
467,L,299.8,309.3,1386,49.4,116
468,M,298.2,309.0,1723,26.6,168
469,M,298.1,307.9,1569,37.0,29
470,H,298.2,308.8,1837,28.4,34
471,L,297.8,309.8,1533,36.8,198
472,M,303.7,312.9,1406,41.9,48
473,L,298.6,310.0,1517,39.0,4
474,H,302.2,311.4,1625,35.4,70
475,L,298.8,310.0,1537,39.9,190
476,M,297.9,307.5,1647,30.8,212
477,M,301.5,310.4,1350,54.9,153
478,H,298.8,310.2,1707,27.6,56
479,L,299.0,308.7,1892,22.8,96
480,L,300.6,311.7,1488,47.7,22
481,L,297.3,308.3,1333,55.2,11
482,L,297.2,308.6,1864,23.6,103
483,M,302.2,311.4,1642,32.1,42
484,M,298.7,309.7,1629,27.9,136
485,M,297.3,308.5,1625,32.8,92
486,L,297.1,307.8,1681,27.6,181
487,M,300.8,311.4,1732,26.9,45
488,L,298.8,309.9,1525,39.7,77
489,H,299.3,308.7,1408,44.4,82
490,L,297.6,309.0,1487,45.4,64
491,L,297.4,309.4,1620,35.4,51
492,M,299.0,310.3,1657,31.0,70
493,L,300.6,309.6,1411,41.6,140
494,H,300.3,311.8,2141,18.5,204
495,M,298.2,308.5,2678,10.7,86
496,M,300.9,311.9,1310,56.1,35
497,L,298.6,309.6,1386,48.6,25
498,L,302.6,311.9,1448,49.5,72
499,H,301.0,312.2,1489,40.3,117
500,M,295.7,306.3,1712,28.5,43
501,L,302.5,311.9,1520,44.9,94
502,H,303.9,313.0,1517,36.0,142
503,H,300.9,311.3,1668,28.9,183
504,L,301.4,310.4,1559,39.4,199
505,L,298.4,309.7,1457,44.2,175
506,L,302.5,310.5,1507,39.5,147
507,L,298.2,309.4,1443,45.4,187
508,L,299.7,309.3,1434,38.5,127
509,L,299.7,310.2,1633,36.5,24
510,M,300.5,311.7,1269,64.0,87
511,M,298.7,309.8,1343,53.6,134
512,H,301.3,311.0,1341,59.3,134
513,L,299.4,309.0,1660,28.4,139
514,L,303.0,311.3,1365,56.2,146
515,L,301.3,310.9,1509,41.7,16
516,L,299.1,308.4,1693,31.6,65
517,L,301.0,310.7,1727,34.5,127
518,M,300.1,309.2,1418,39.8,221
519,L,303.8,312.8,1428,53.3,152
520,L,300.2,309.2,1431,51.3,57
521,L,298.8,308.7,1450,43.4,66
522,M,298.5,309.7,1557,37.7,86
523,L,299.1,310.0,1394,46.6,27
524,M,302.2,311.3,1510,37.1,10
525,M,302.5,311.4,1629,31.7,225
526,L,297.6,308.7,1476,39.0,44
527,L,298.4,309.3,1531,37.4,16
528,L,299.2,308.9,1368,47.2,175
529,L,301.1,310.2,1496,43.4,54
530,L,300.3,311.4,1346,51.1,147
531,L,298.5,309.7,2617,12.1,102
532,L,300.4,311.1,1405,54.1,193
533,L,298.7,308.5,1375,46.4,48
534,M,297.8,307.3,1804,26.0,222
535,L,298.7,309.6,1442,55.6,194
536,L,297.4,308.4,1394,50.1,213
537,M,299.2,310.4,1395,55.4,76
538,L,300.4,310.0,1581,30.3,42
539,L,297.2,308.5,1588,40.4,190
540,L,297.5,308.4,1489,39.5,96
541,L,302.5,310.9,1624,34.4,146
542,L,298.7,309.9,1371,51.3,201
543,L,295.8,306.6,1644,35.2,115
544,M,296.2,307.0,2119,18.3,159
545,L,300.5,309.9,1443,48.3,122
546,M,300.6,310.0,1478,36.3,95
547,L,299.7,309.2,1645,30.8,137
548,L,298.8,309.5,1368,44.7,147
549,L,300.3,311.8,1551,37.2,9
550,M,300.6,310.2,1233,52.3,23
551,M,297.8,309.0,1675,30.0,110
552,L,299.0,308.6,1434,45.9,108
553,M,300.2,309.7,1183,61.4,170
554,M,302.9,311.2,1467,37.7,73
555,M,297.0,307.7,1261,51.1,130
556,L,299.8,311.1,1603,35.1,179
557,L,298.7,310.2,1566,33.1,68
558,M,302.0,310.6,1535,38.6,34
559,M,298.4,309.2,1597,33.5,116
560,L,298.4,308.2,1471,47.0,214
561,L,302.3,311.5,1387,47.3,2
562,M,300.9,310.7,1420,43.0,133
563,L,303.5,312.3,1584,35.2,74
564,M,297.1,307.8,1443,43.9,137
565,M,300.9,310.4,1576,40.4,92
566,L,298.4,308.6,1491,42.0,120
567,L,297.4,308.4,1426,50.4,70
568,H,298.0,307.6,1593,32.2,118
569,L,298.2,308.7,1780,27.9,35
570,L,303.8,312.8,1646,35.8,143
571,H,301.4,310.5,1421,43.8,182
572,L,301.8,311.0,1771,27.2,162
573,H,298.8,308.6,1524,37.7,170
574,L,298.8,309.6,1890,24.0,173
575,M,299.1,308.8,1725,26.6,172
576,L,300.3,311.8,2004,19.6,12
577,M,301.5,311.1,1660,33.8,115
578,H,302.2,311.1,1553,34.1,89
579,L,299.2,308.6,1582,38.8,156
580,H,298.7,309.8,1422,40.7,85
581,L,302.3,311.7,1414,47.0,11
582,L,297.5,308.9,1469,44.0,185
583,L,301.5,310.1,1639,33.4,47
584,L,297.3,308.3,1484,43.9,13
585,L,297.7,308.1,1734,30.7,177
586,L,300.3,309.2,1532,40.2,194
587,L,297.0,308.1,1355,43.7,217
588,L,301.0,312.2,1776,28.8,138
589,H,298.5,308.2,1563,44.6,163
590,M,301.2,312.4,1505,39.6,102
591,H,298.7,309.7,1311,54.5,52
592,L,302.6,312.1,1499,35.0,215
593,L,299.4,309.2,1621,34.5,48
594,L,299.1,309.8,1398,55.4,217
595,L,301.8,310.5,1548,34.1,93
596,M,303.0,311.2,1460,43.9,103
597,L,300.8,310.5,1434,44.5,89
598,H,303.8,312.5,1748,25.1,175
599,M,301.7,310.1,1644,34.6,5
600,L,298.4,309.3,1409,43.1,166
601,M,299.9,309.5,1412,57.9,59
602,L,300.3,309.6,1597,31.8,73
603,L,296.9,307.5,2721,9.3,18
604,L,301.3,310.0,1438,40.9,7
605,L,301.7,310.8,1493,47.6,145
606,L,302.6,312.3,1512,34.2,44
607,L,301.2,310.6,1437,51.2,112
608,L,302.1,311.2,1519,39.3,155
609,L,300.8,309.4,1946,20.5,111
610,H,298.4,308.2,1478,43.5,206
611,L,300.0,311.5,1812,28.3,94
612,L,299.2,308.5,1515,39.8,141
613,M,298.2,308.8,1626,40.4,20
614,M,303.7,312.6,1429,43.3,189
615,M,298.2,309.0,1413,47.9,97
616,H,298.4,307.7,1626,31.1,166
617,L,302.3,311.8,1605,35.2,152
618,M,302.4,311.1,1432,44.5,195
619,L,300.7,311.8,1564,36.8,11
620,L,297.4,309.2,1698,29.4,119
621,L,299.8,310.4,1694,30.3,204
622,L,298.9,308.2,1510,43.5,46
623,L,300.3,311.5,1667,28.8,56
624,L,300.2,311.8,1798,23.2,210
625,L,300.6,310.4,1556,37.7,122
626,L,303.5,311.9,1493,38.7,14
627,L,299.4,308.7,1504,37.8,112
628,L,301.7,311.0,1715,24.8,17
629,L,301.4,310.4,1436,49.7,108
630,L,300.1,310.2,1475,54.2,53
631,L,299.8,310.0,1697,36.0,175
632,L,302.5,311.6,1419,43.7,39
633,L,303.8,312.7,1414,41.7,190
634,M,297.4,308.3,1335,57.9,113
635,M,297.5,307.9,1544,37.9,136
636,L,299.1,308.5,1455,39.8,145
637,L,301.7,311.3,1348,51.0,87
638,L,300.5,309.9,1423,47.9,114
639,M,297.5,309.5,1553,42.4,60
640,L,300.8,311.0,1578,44.4,86
641,M,302.3,311.0,1546,35.5,70
642,L,303.6,312.3,2168,17.7,219
643,M,299.4,309.1,1326,62.0,142
644,L,301.9,310.7,1429,51.0,76
645,M,298.7,309.9,1411,45.1,51
646,M,300.5,311.9,1730,27.5,209
647,L,302.4,311.7,1495,36.8,215
648,M,302.9,312.2,1745,25.5,98
649,M,299.5,310.1,1659,31.5,44
650,L,301.3,310.3,1400,44.3,47
651,M,298.1,309.4,1362,47.6,70
652,L,297.7,308.9,1516,33.7,92
653,L,303.7,312.2,1619,34.9,92
654,M,298.1,309.2,1460,45.8,80
655,L,302.2,310.9,1452,42.3,56
656,M,300.8,312.6,1588,35.6,114
657,M,304.2,313.2,1396,50.5,11
658,L,300.8,310.7,1589,34.3,144
659,L,303.7,312.7,1468,43.3,168
660,H,296.6,307.4,1333,50.2,177
661,L,302.2,311.5,1413,43.5,83
